,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
Bus H2 consumption [kg/mile],0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus petrol consumption [L/mile],0.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Assumes buses are full hybrids, no plug-in - no electricity consumption just reduced petrol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max change levels,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
Car deployment per annum [%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
   Petrol,, 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
   HEV,, 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 ,
   Other fuel,, 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 ,
   Electric,, 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 ,
   Hydrogen,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 ,
Bus deployment per annum [%],, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
   Petrol,, 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
   HEV,, 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 ,
   Other fuel,, 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 ,
   Electric,, 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 ,
   Hydrogen,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 ,
HGV deployment per annum [%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
   Petrol,, 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
   HEV,, 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 ,
   Other fuel,, 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 ,
   Electric,, 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 ,
   Hydrogen,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 ,
LDV deployment per annum [%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
   Petrol,, 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
   HEV,, 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 ,
   Other fuel,, 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 ,
   Electric,, 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 ,
   Hydrogen,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 ,
Motorbike deployment per annum [%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
   Petrol,, 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
   HEV,, 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 ,
   Other fuel,, 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 , 2.66 ,
   Electric,, 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 , 1.36 ,
   Hydrogen,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specific emission data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car emissions [kgCO2/mile],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,
   Petrol,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,
   HEV,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,
   Other fuel,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,
   Electric,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
Bus emissions [kgCO2/mile],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,
   Petrol,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,
   HEV,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,
   Other fuel,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,
   Electric,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
HGV emissions [kgCO2/mile],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,
   Petrol,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,
   HEV,0.710,0.710,0.710,0.710,0.710,0.710,0.710,0.710,0.710,0.710,0.710,0.710,0.710,0.710,0.710,0.710,0.710,0.710,0.710,0.710,0.710,0.710,0.710,0.710,0.710,0.710,0.710,0.710,0.710,
   Other fuel,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,1.405,
   Electric,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
LDV emissions [kgCO2/mile],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403,
   Petrol,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,
   HEV,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,
   Other fuel,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,
   Electric,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
Motorbike emissions [kgCO2/mile],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,
   Petrol,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,
   HEV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Other fuel,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,
   Electric,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
Fuel consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel [MPG],48.060,48.060,48.060,48.060,48.060,48.060,48.060,48.060,48.060,48.060,48.060,48.060,48.060,48.060,48.060,48.060,48.060,48.060,48.060,48.060,48.060,48.060,48.060,48.060,48.060,48.060,48.060,48.060,48.060,
   Petrol [MPG],40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,
   HEV [MPG],57.000,57.000,57.000,57.000,57.000,57.000,57.000,57.000,57.000,57.000,57.000,57.000,57.000,57.000,57.000,57.000,57.000,57.000,57.000,57.000,57.000,57.000,57.000,57.000,57.000,57.000,57.000,57.000,57.000,
   Other fuel [kg/100km],27.500,27.500,27.500,27.500,27.500,27.500,27.500,27.500,27.500,27.500,27.500,27.500,27.500,27.500,27.500,27.500,27.500,27.500,27.500,27.500,27.500,27.500,27.500,27.500,27.500,27.500,27.500,27.500,27.500,
   Electric [kWh/mile],0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,
   Hydrogen [kg/100km],0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,
Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel [L/100km],40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,
   Petrol [L/100km],50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,
   HEV [L/100km],33.800,33.800,33.800,33.800,33.800,33.800,33.800,33.800,33.800,33.800,33.800,33.800,33.800,33.800,33.800,33.800,33.800,33.800,33.800,33.800,33.800,33.800,33.800,33.800,33.800,33.800,33.800,33.800,33.800,
   Other fuel [L/100km],42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,
   Electric [kWh/mile],2.254,2.254,2.254,2.254,2.254,2.254,2.254,2.254,2.254,2.254,2.254,2.254,2.254,2.254,2.254,2.254,2.254,2.254,2.254,2.254,2.254,2.254,2.254,2.254,2.254,2.254,2.254,2.254,2.254,
   Hydrogen [kg/100km],6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,6.100,
HGV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel [MPG],9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,
   Petrol [MPG],9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,9.200,
   HEV [MPG],11.500,11.500,11.500,11.500,11.500,11.500,11.500,11.500,11.500,11.500,11.500,11.500,11.500,11.500,11.500,11.500,11.500,11.500,11.500,11.500,11.500,11.500,11.500,11.500,11.500,11.500,11.500,11.500,11.500,
   Other fuel [MPG],28.900,28.900,28.900,28.900,28.900,28.900,28.900,28.900,28.900,28.900,28.900,28.900,28.900,28.900,28.900,28.900,28.900,28.900,28.900,28.900,28.900,28.900,28.900,28.900,28.900,28.900,28.900,28.900,28.900,
   Electric [kWh/mile],1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,
   Hydrogen [kg/100km],9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,
LDV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel [MPG],40.400,40.400,40.400,40.400,40.400,40.400,40.400,40.400,40.400,40.400,40.400,40.400,40.400,40.400,40.400,40.400,40.400,40.400,40.400,40.400,40.400,40.400,40.400,40.400,40.400,40.400,40.400,40.400,40.400,
   Petrol [MPG],44.100,44.100,44.100,44.100,44.100,44.100,44.100,44.100,44.100,44.100,44.100,44.100,44.100,44.100,44.100,44.100,44.100,44.100,44.100,44.100,44.100,44.100,44.100,44.100,44.100,44.100,44.100,44.100,44.100,
   HEV [MPG],50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,
   Other fuel [MPG],30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,
   Electric [kWh/mile],0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,
   Hydrogen [kg/100km],2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,
Motorbike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel [MPG],60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,
   Petrol [MPG],56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,
   HEV [MPG],64.200,64.200,64.200,64.200,64.200,64.200,64.200,64.200,64.200,64.200,64.200,64.200,64.200,64.200,64.200,64.200,64.200,64.200,64.200,64.200,64.200,64.200,64.200,64.200,64.200,64.200,64.200,64.200,64.200,
   Other fuel [MPG],56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,56.700,
   Electric [kWh/mile],0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,
   Hydrogen [kg/100km],0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,
Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel [MPL],10.572,10.572,10.572,10.572,10.572,10.572,10.572,10.572,10.572,10.572,10.572,10.572,10.572,10.572,10.572,10.572,10.572,10.572,10.572,10.572,10.572,10.572,10.572,10.572,10.572,10.572,10.572,10.572,10.572,
   Petrol [MPL],8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,
   HEV [MPL],12.538,12.538,12.538,12.538,12.538,12.538,12.538,12.538,12.538,12.538,12.538,12.538,12.538,12.538,12.538,12.538,12.538,12.538,12.538,12.538,12.538,12.538,12.538,12.538,12.538,12.538,12.538,12.538,12.538,
   Other fuel [MPL],6.049,6.049,6.049,6.049,6.049,6.049,6.049,6.049,6.049,6.049,6.049,6.049,6.049,6.049,6.049,6.049,6.049,6.049,6.049,6.049,6.049,6.049,6.049,6.049,6.049,6.049,6.049,6.049,6.049,
