,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
   Electric,0.000,1.3637682,2.7275365,4.0913047,5.4550729,6.8188411,8.1826094,9.5463776,10.910146,12.273914,13.637682,15.001451,16.365219,17.728987,19.092755,20.456523,21.820292,23.18406,24.547828,25.911596,27.275365,28.639133,30.002901,31.366669,32.730437,34.094206,35.457974,36.821742,38.18551,
   Hydrogen,0.000,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,7.3781599,3.3559068,0,0,0,0,
LDV distribution [%],0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
   Diesel,97.089,92.802333,87.34726,81.892187,76.437114,70.982041,65.526968,60.071895,54.616822,49.161749,43.706676,38.251603,32.796531,28.999942,25.203354,21.406766,17.610178,13.81359,10.017002,6.2204144,2.4238264,0,0,0,0,0,0,0,0,
   Petrol,1.725,4.3832751,7.04176,9.7002449,12.35873,15.017215,17.6757,20.334185,22.992669,25.651154,28.309639,30.968124,33.626609,33.626609,33.626609,33.626609,33.626609,33.626609,33.626609,33.626609,33.626609,32.253847,28.457259,24.660671,20.864083,17.067495,13.270907,9.4743194,5.6777314,
   HEV,0.018,1.4506241,2.8834439,4.3162636,5.7490834,7.1819032,8.614723,10.047543,11.480363,12.913182,14.346002,15.778822,17.211642,18.644461,20.077281,21.510101,22.942921,24.375741,25.80856,27.24138,28.6742,30.10702,31.53984,32.972659,34.405479,35.838299,37.271119,38.703938,40.136758,
   Other fuel,1.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
   Electric,0.000,1.3637682,2.7275365,4.0913047,5.4550729,6.8188411,8.1826094,9.5463776,10.910146,12.273914,13.637682,15.001451,16.365219,17.728987,19.092755,20.456523,21.820292,23.18406,24.547828,25.911596,27.275365,28.639133,30.002901,31.366669,32.730437,34.094206,35.457974,36.821742,38.18551,
   Hydrogen,0.000,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
Motorbike distribution [%],0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
   Diesel,0.044,0.34289365,0.64211706,0.94134047,1.2405639,1.5397873,1.8390107,2.1382341,2.4374575,2.7366809,3.0359043,3.3351277,3.6343511,3.6343511,3.6343511,3.6343511,3.6343511,1.5359231,0,0,0,0,0,0,0,0,0,0,0,
   Petrol,99.228,93.474196,87.7199,81.965603,76.211307,70.457011,64.702714,58.948418,53.194122,47.439826,41.685529,35.931233,30.176937,23.721864,17.266791,10.811718,4.3566449,0,0,0,0,0,0,0,0,0,0,0,0,
   HEV,0.000,1.4328198,2.8656396,4.2984594,5.7312791,7.1640989,8.5969187,10.029738,11.462558,12.895378,14.328198,15.761018,17.193837,18.626657,20.059477,21.492297,22.925117,24.357936,25.790756,27.223576,28.656396,30.089215,31.522035,32.954855,34.387675,35.820495,37.253314,38.686134,40.118954,
   Other fuel,0.728,3.3863223,6.0448072,8.7032921,11.361777,14.020262,16.678747,19.337232,21.995717,24.654201,27.312686,29.971171,32.629656,35.288141,37.946626,40.605111,43.263596,45.922081,43.661416,39.864828,36.06824,32.271652,28.475064,24.678476,20.881888,17.0853,13.288712,9.4921237,5.6955356,
   Electric,0.000,1.3637682,2.7275365,4.0913047,5.4550729,6.8188411,8.1826094,9.5463776,10.910146,12.273914,13.637682,15.001451,16.365219,17.728987,19.092755,20.456523,21.820292,23.18406,24.547828,25.911596,27.275365,28.639133,30.002901,31.366669,32.730437,34.094206,35.457974,36.821742,38.18551,
   Hydrogen,0.000,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
